timestamp,nx,ny,nz,visibility_score,inlier_score,combined_score
1774618512.371965885,0.011378,0.033382,-0.999378,0.6536,1.0000,0.7922
1774618512.421832085,0.022881,0.031581,-0.999239,0.8013,1.0000,0.8808
1774618512.471971035,0.010234,0.028656,-0.999537,0.7050,1.0000,0.8230
1774618512.522825003,0.031307,0.029794,-0.999066,0.4488,1.0000,0.6693
1774618512.571520090,0.030735,0.033179,-0.998977,0.3167,1.0000,0.5900
1774618512.621505022,0.021776,0.025174,-0.999446,0.3941,0.9652,0.6225
1774618512.671545029,0.029216,0.031985,-0.999061,0.3393,0.9744,0.5933
1774618512.821121931,0.024435,0.029394,-0.999269,0.1074,1.0000,0.4644
1774618512.921186924,0.014225,0.029627,-0.999460,0.3185,1.0000,0.5911
1774618512.971529007,0.009930,0.033478,-0.999390,0.4483,1.0000,0.6690
1774618513.021605015,0.020498,0.030153,-0.999335,0.4733,1.0000,0.6840
1774618513.071652889,0.022400,0.029929,-0.999301,0.3964,1.0000,0.6378
1774618513.121970892,0.022537,0.029854,-0.999300,0.0809,1.0000,0.4486
1774618513.172019958,0.026061,0.032570,-0.999130,0.3045,1.0000,0.5827
1774618513.221975088,0.024980,0.032365,-0.999164,0.5649,1.0000,0.7389
1774618513.271976948,0.023756,0.034436,-0.999125,0.7778,1.0000,0.8667
1774618513.322030067,0.025873,0.028168,-0.999268,0.9068,1.0000,0.9441
1774618513.372111082,0.028043,0.035032,-0.998993,0.9036,1.0000,0.9422
1774618513.422012091,0.012906,0.034578,-0.999319,0.7717,1.0000,0.8630
1774618513.471631050,0.024888,0.031954,-0.999179,0.5886,1.0000,0.7532
1774618513.521640062,0.020853,0.034900,-0.999173,0.3477,1.0000,0.6086
1774618513.671272039,0.021275,0.028512,-0.999367,0.1431,1.0000,0.4858
1774618513.821670055,0.017907,0.026539,-0.999487,0.3925,1.0000,0.6355
1774618513.871746063,0.029978,0.029692,-0.999109,0.4253,0.9945,0.6529
1774618513.971708059,0.017896,0.028255,-0.999441,0.4656,1.0000,0.6794
1774618514.021750927,0.036824,0.034580,-0.998723,0.4943,1.0000,0.6966
1774618514.071274996,0.020330,0.026570,-0.999440,0.5057,1.0000,0.7034
1774618514.121305943,0.018465,0.029482,-0.999395,0.5091,1.0000,0.7055
1774618514.171314001,0.012000,0.031378,-0.999436,0.5056,1.0000,0.7033
1774618514.221268892,0.027403,0.031292,-0.999135,0.5151,1.0000,0.7091
1774618514.270931005,0.028938,0.030599,-0.999113,0.5006,1.0000,0.7004
1774618514.320918083,0.013492,0.030007,-0.999459,0.4911,1.0000,0.6947
1774618514.371293068,0.018994,0.033463,-0.999259,0.4916,1.0000,0.6949
1774618514.421387911,0.016257,0.032175,-0.999350,0.4945,1.0000,0.6967
1774618514.471396923,0.023281,0.029229,-0.999302,0.4903,1.0000,0.6942
1774618514.521740913,0.013298,0.026815,-0.999552,0.4608,0.9711,0.6650
1774618514.571742058,0.016038,0.030073,-0.999419,0.4586,0.9451,0.6532
1774618514.621761084,0.027294,0.028761,-0.999214,0.4414,0.9287,0.6363
1774618514.672147036,0.013742,0.024101,-0.999615,0.4470,0.9028,0.6294
1774618514.722177982,0.020700,0.028567,-0.999378,0.4623,0.9217,0.6460
1774618514.772167921,0.025194,0.027316,-0.999309,0.4798,0.9107,0.6522
1774618514.822590113,0.029416,0.031552,-0.999069,0.4521,0.8710,0.6197
1774618514.872584105,0.031732,0.027784,-0.999110,0.4474,0.8935,0.6259
1774618514.922602892,0.022562,0.030388,-0.999284,0.4177,0.9134,0.6160
1774618514.972584963,0.026471,0.031631,-0.999149,0.4253,0.9216,0.6238
1774618515.022628069,0.017191,0.026045,-0.999513,0.4471,0.9410,0.6446
1774618515.072588921,0.021898,0.028646,-0.999350,0.3591,0.9308,0.5878
1774618515.122257948,0.024340,0.026060,-0.999364,0.2787,0.9304,0.5394
1774618515.171802044,0.017652,0.022650,-0.999588,0.1150,0.8970,0.4278
1774618515.221405983,0.030394,0.034559,-0.998940,0.2458,0.9117,0.5121
1774618515.271034002,0.038606,0.033373,-0.998697,0.3156,0.8997,0.5493
1774618515.320678949,0.025554,0.031924,-0.999164,0.3432,0.9349,0.5799
1774618515.370290041,0.015752,0.029968,-0.999427,0.3649,0.9453,0.5971
1774618515.419884920,0.020117,0.024272,-0.999503,0.3353,0.9206,0.5694
1774618515.469540119,0.036806,0.029333,-0.998892,0.2590,0.9425,0.5324
1774618515.519104004,0.017379,0.030184,-0.999393,0.1644,0.9635,0.4841
1774618515.569086075,0.013818,0.034779,-0.999299,0.1427,0.9550,0.4676
1774618515.618781090,0.027102,0.028181,-0.999235,0.3017,0.9746,0.5709
1774618515.668683052,0.020544,0.030978,-0.999309,0.4576,0.9970,0.6734
1774618515.718677998,0.022711,0.035079,-0.999126,0.6021,0.9958,0.7595
1774618515.768726110,0.018624,0.035905,-0.999182,0.7401,0.9823,0.8370
1774618515.818723917,0.022043,0.033534,-0.999194,0.8402,0.9964,0.9027
1774618515.869119883,0.017414,0.029916,-0.999401,0.9042,0.9582,0.9258
1774618515.919091940,0.009899,0.032422,-0.999425,0.8898,0.9724,0.9228
1774618515.969535112,0.021855,0.032205,-0.999242,0.7986,0.9627,0.8643
1774618516.019536018,0.022112,0.032489,-0.999227,0.6266,0.9900,0.7719
1774618516.069981098,0.021924,0.034930,-0.999149,0.3683,0.9558,0.6033
1774618516.119935989,0.022121,0.032378,-0.999231,0.0602,0.9618,0.4209
1774618516.170375109,0.004730,0.032389,-0.999464,0.3792,0.8996,0.5874
1774618516.220361948,0.024535,0.026671,-0.999343,0.4765,0.9284,0.6573
1774618516.270401955,0.001995,0.032374,-0.999474,0.3028,0.8909,0.5380
1774618516.320365906,0.026670,0.030819,-0.999169,0.0846,0.9262,0.4213
1774618516.370392084,0.023094,0.027539,-0.999354,0.4057,0.9068,0.6062
1774618516.420398951,0.019953,0.031293,-0.999311,0.6310,0.9170,0.7454
1774618516.470382929,0.017229,0.026094,-0.999511,0.8126,0.8896,0.8434
1774618516.520410061,0.024739,0.033589,-0.999129,0.9684,0.8833,0.9344
1774618516.570398092,0.038418,0.023382,-0.998988,0.9785,0.8806,0.9393
1774618516.620409012,0.027625,0.026444,-0.999269,0.3792,0.8963,0.5861
1774618516.820822001,0.020262,0.026858,-0.999434,0.5520,0.8385,0.6666
1774618516.870841026,0.022863,0.025732,-0.999407,0.5443,0.7944,0.6443
1774618516.920850039,0.014940,0.027423,-0.999512,0.4960,0.8166,0.6243
1774618516.971314907,0.016909,0.021047,-0.999635,0.4010,0.8027,0.5617
1774618517.021313906,0.009369,0.017137,-0.999809,0.1460,0.7491,0.3872
1774618517.071706057,0.027151,0.026848,-0.999271,0.1905,0.7085,0.3977
1774618517.121656895,0.040182,0.022367,-0.998942,0.3186,0.7299,0.4832
