timestamp,normal_type,nx,ny,nz,roll,pitch,pub_vis_score,pub_inlier_score,pub_combined_score,curr_vis_score,curr_inlier_score,curr_combined_score,inlier_count,subcloud_size,inlier_ratio,using_fallback,fallback_unavailable,recovered_from_segmentation_failure
1784806288.921394,raw,-0.145803,0.225447,0.963284,-179.404,-1.32472,0.0168111,0.375,0.142177,0.0168111,0.375,0.142177,72,1920,0.0375,0,1,0
1784806288.921394,scored,-0.145803,0.225447,0.963284,-179.404,-1.32472,0.0168111,0.375,0.142177,0.0168111,0.375,0.142177,72,1920,0.0375,0,1,0
1784806288.921394,smoothed_raw,-0.118492,0.180556,0.976401,-179.404,-1.32472,0.0168111,0.375,0.142177,0.0168111,0.375,0.142177,72,1920,0.0375,0,1,0
1784806288.921394,smoothed_scored,-0.132435,0.213806,0.967857,-179.404,-1.32472,0.0168111,0.375,0.142177,0.0168111,0.375,0.142177,72,1920,0.0375,0,1,0
1784806289.425628,raw,0.137184,-0.000255799,0.990546,2.62409,6.37856,0.0544665,0.075,0.0616533,0.0544665,0.075,0.0616533,27,3600,0.0075,0,1,0
1784806289.425628,scored,0.137184,-0.000255799,0.990546,2.62409,6.37856,0.0544665,0.075,0.0616533,0.0544665,0.075,0.0616533,27,3600,0.0075,0,1,0
1784806289.425628,smoothed_raw,-0.0230077,0.130185,0.991223,2.62409,6.37856,0.0544665,0.075,0.0616533,0.0544665,0.075,0.0616533,27,3600,0.0075,0,1,0
1784806289.425628,smoothed_scored,0.0700648,0.0548945,0.996031,2.62409,6.37856,0.0544665,0.075,0.0616533,0.0544665,0.075,0.0616533,27,3600,0.0075,0,1,0
1784806290.020510,raw,-0.0848433,0.182735,0.979494,-170.211,-8.9419,0.151149,0,0.0982469,0.151149,0,0.0982469,15,2608,0.00575153,0,1,0
1784806290.020510,scored,-0.0848433,0.182735,0.979494,-170.211,-8.9419,0.151149,0,0.0982469,0.151149,0,0.0982469,15,2608,0.00575153,0,1,0
1784806290.020510,smoothed_raw,0.0242918,0.0935951,0.995314,-170.211,-8.9419,0.151149,0,0.0982469,0.151149,0,0.0982469,15,2608,0.00575153,0,1,0
1784806290.020510,smoothed_scored,-0.0349994,0.142403,0.98919,-170.211,-8.9419,0.151149,0,0.0982469,0.151149,0,0.0982469,15,2608,0.00575153,0,1,0
1784806290.523827,raw,0.052246,-0.189375,0.980514,-2.88046,8.72397,0.0703983,0,0.0457589,0.0703983,0,0.0457589,14,3232,0.00433168,0,1,0
1784806290.523827,scored,0.052246,-0.189375,0.980514,-2.88046,8.72397,0.0703983,0,0.0457589,0.0703983,0,0.0457589,14,3232,0.00433168,0,1,0
1784806290.523827,smoothed_raw,-0.0123015,0.0140833,0.999825,-2.88046,8.72397,0.0703983,0,0.0457589,0.0703983,0,0.0457589,14,3232,0.00433168,0,1,0
1784806290.523827,smoothed_scored,0.0222357,-0.102837,0.99445,-2.88046,8.72397,0.0703983,0,0.0457589,0.0703983,0,0.0457589,14,3232,0.00433168,0,1,0
1784806291.069255,raw,-0.0597,0.258332,0.96421,-172.371,6.97194,0.106737,0.343137,0.189477,0.106737,0.343137,0.189477,56,1632,0.0343137,0,1,0
1784806291.069255,scored,-0.0597,0.258332,0.96421,-172.371,6.97194,0.106737,0.343137,0.189477,0.106737,0.343137,0.189477,56,1632,0.0343137,0,1,0
1784806291.069255,smoothed_raw,-0.00419456,0.0253932,0.999669,-172.371,6.97194,0.106737,0.343137,0.189477,0.106737,0.343137,0.189477,56,1632,0.0343137,0,1,0
1784806291.069255,smoothed_scored,-0.0349964,0.157555,0.98689,-172.371,6.97194,0.106737,0.343137,0.189477,0.106737,0.343137,0.189477,56,1632,0.0343137,0,1,0
1784806291.119650,raw,0.00785661,-0.0560731,0.998396,171.97,9.62932,0.13849,0,0.0900182,0.13849,0,0.0900182,14,1200,0.0116667,0,1,0
1784806291.119650,scored,0.00785661,-0.0560731,0.998396,171.97,9.62932,0.13849,0,0.0900182,0.13849,0,0.0900182,14,1200,0.0116667,0,1,0
1784806291.119650,smoothed_raw,-0.0240206,0.0967539,0.995018,171.97,9.62932,0.13849,0,0.0900182,0.13849,0,0.0900182,14,1200,0.0116667,0,1,0
1784806291.119650,smoothed_scored,-0.00711989,0.0144141,0.999871,171.97,9.62932,0.13849,0,0.0900182,0.13849,0,0.0900182,14,1200,0.0116667,0,1,0
1784806291.719586,raw,-0.0145245,0.149134,0.98871,-7.32923,6.32511,0.0973744,0,0.0632933,0.0973744,0,0.0632933,11,1280,0.00859375,0,1,0
1784806291.719586,scored,-0.0145245,0.149134,0.98871,-7.32923,6.32511,0.0973744,0,0.0632933,0.0973744,0,0.0632933,11,1280,0.00859375,0,1,0
1784806291.719586,smoothed_raw,-0.00615801,0.0519097,0.998633,-7.32923,6.32511,0.0973744,0,0.0632933,0.0973744,0,0.0632933,11,1280,0.00859375,0,1,0
1784806291.719586,smoothed_scored,-0.0100334,0.103904,0.994537,-7.32923,6.32511,0.0973744,0,0.0632933,0.0973744,0,0.0632933,11,1280,0.00859375,0,1,0
1784806292.171666,raw,-0.168354,0.350267,0.921396,-143.515,-10.6932,0.411293,0,0.267341,0.411293,0,0.267341,6,864,0.00694444,0,1,0
1784806292.171666,scored,-0.168354,0.350267,0.921396,-143.515,-10.6932,0.411293,0,0.267341,0.411293,0,0.267341,6,864,0.00694444,0,1,0
1784806292.171666,smoothed_raw,-0.0786023,0.222238,0.971819,-143.515,-10.6932,0.411293,0,0.267341,0.411293,0,0.267341,6,864,0.00694444,0,1,0
1784806292.171666,smoothed_scored,-0.131591,0.300732,0.944587,-143.515,-10.6932,0.411293,0,0.267341,0.411293,0,0.267341,6,864,0.00694444,0,1,0
1784806292.321455,raw,-0.0401759,0.111184,0.992987,-165.373,3.76722,0.117684,0,0.0764946,0.117684,0,0.0764946,18,2064,0.00872093,0,1,0
